_id,processo_numero,processo_ocorrencia
1,8155845218,Não há Ocorrência para essa Solicitação
2,8155698018,Deslizamentos de Barreiras
3,8155361518,Invasao de Terreno de Auxilio Moradia
4,8155337718,Imoveis com Danos/Risco
5,8155296918,Não há Ocorrência para essa Solicitação
6,8155134918,Não há Ocorrência para essa Solicitação
7,8152998019,Não há Ocorrência para essa Solicitação
8,8152978019,Não há Ocorrência para essa Solicitação
9,8152840819,Não há Ocorrência para essa Solicitação
10,8152791918,Não há Ocorrência para essa Solicitação
11,8152784019,Não há Ocorrência para essa Solicitação
12,8152762719,Imoveis com Danos/Risco
13,8152748618,Não há Ocorrência para essa Solicitação
14,8152743418,Não há Ocorrência para essa Solicitação
15,8152743219,Não há Ocorrência para essa Solicitação
16,8152740319,Arvores em Risco
17,8152738919,Não há Ocorrência para essa Solicitação
18,8152736619,Não há Ocorrência para essa Solicitação
19,8152734319,Muro com Danos
20,8152730819,Desabamento Parcial Imoveis
21,8152730819,Imoveis com Danos/Risco
22,8152725419,Incendios
23,8152720219,Não há Ocorrência para essa Solicitação
24,8152715919,Deslizamentos de Barreiras
25,8152711518,Não há Ocorrência para essa Solicitação
26,8152711319,Deslizamentos de Barreiras
27,8152691418,Imoveis com Danos/Risco
28,8152687519,Muro com Danos
29,8152618319,Não há Ocorrência para essa Solicitação
30,8152603818,Não há Ocorrência para essa Solicitação
31,8152591018,Não há Ocorrência para essa Solicitação
32,8152545619,Não há Ocorrência para essa Solicitação
33,8152541019,Imoveis com Danos/Risco
34,8152512019,Não há Ocorrência para essa Solicitação
35,8152494219,Não há Ocorrência para essa Solicitação
36,8152465418,Imoveis com Danos/Risco
37,8152464619,Deslizamentos de Barreiras
38,8152447618,Imoveis com Danos/Risco
39,8152427319,Imoveis com Danos/Risco
40,8152422119,Não há Ocorrência para essa Solicitação
41,8152381518,Deslizamentos de Barreiras
42,8152379919,Não há Ocorrência para essa Solicitação
43,8152346319,Deslizamentos de Barreiras
44,8152335119,Deslizamentos de Barreiras
45,8152335119,Alagamentos
46,8152332219,Não há Ocorrência para essa Solicitação
47,8152314419,Imoveis com Danos/Risco
48,8152295118,Desabamento Total Imoveis
49,8152173119,Imoveis com Danos/Risco
50,8152170219,Imoveis com Danos/Risco
51,8152058819,Imoveis com Danos/Risco
52,8152025219,Não há Ocorrência para essa Solicitação
53,8152006018,Não há Ocorrência para essa Solicitação
54,8152005119,Imoveis com Danos/Risco
55,8151997019,Imoveis com Danos/Risco
56,8151996618,Não há Ocorrência para essa Solicitação
57,8151993718,Não há Ocorrência para essa Solicitação
58,8151982319,Imoveis com Danos/Risco
59,8151976518,Não há Ocorrência para essa Solicitação
60,8151968218,Imoveis com Danos/Risco
61,8151948019,Não há Ocorrência para essa Solicitação
62,8151923719,Não há Ocorrência para essa Solicitação
63,8151887218,Não há Ocorrência para essa Solicitação
64,8151877718,Não há Ocorrência para essa Solicitação
65,8151877718,Deslizamentos de Barreiras
66,8151849119,Não há Ocorrência para essa Solicitação
67,8151844118,Não há Ocorrência para essa Solicitação
68,8151832119,Não há Ocorrência para essa Solicitação
69,8151822818,Não há Ocorrência para essa Solicitação
70,8151819519,Não há Ocorrência para essa Solicitação
71,8151815118,Não há Ocorrência para essa Solicitação
72,8151811618,Incendios
73,8151797318,Não há Ocorrência para essa Solicitação
74,8151793818,Arvores em Risco
75,8151786118,Imoveis com Danos/Risco
76,8151706619,Deslizamentos de Barreiras
77,8151661219,Imoveis com Danos/Risco
